id1,id2,id3,id4,id5,id6,id7,id8,id9,id10,id11,id12,id13,id14,id15,id16,id17,id18,id19,id20,id21,id22,id23,id24,id25,id26,id27,id28,id29,id30,id31,id32,id33,id34,id35,id36,id37,id38,id39,id40
1002091574000010,تجدید مزایده گوگرد ضایعاتی,1402/07/05,15:00,1402/08/01,19:00,1402/07/18,1402/07/25,07:30,14:00,1402/07/16,19:00,1402/07/05,15:00,1402/08/01,19:00,1402/08/02,08:00,1402/08/02,14:00,,,,4,,4,4,4,0,1402/07/16,19:00,5,درآمدی-4101041930233261- بانک مرکزی جمهوری اسلامی ایران شعبه مرکزی,,دریافت وجوه سپرده-4101041930233261- بانک مرکزی جمهوری اسلامی ایران شعبه مرکزی,,رد وجوه سپرده-4101041938164716- بانک مرکزی جمهوری اسلامی ایران شعبه مرکزی,درآمدی-4101041938164716- بانک مرکزی جمهوری اسلامی ایران شعبه مرکزی,,رد وجوه سپرده-4101041938164716- بانک مرکزی جمهوری اسلامی ایران شعبه مرکزی
1002097847000008,فروش گاز مشعل پالایشگاههای یازدهم و دوازدهم شرکت مجتمع گاز پارس جنوبی,1402/07/08,08:00,1402/08/07,13:59,1402/07/18,1402/07/18,08:00,16:00,1402/07/18,18:00,1402/07/08,08:00,1402/08/07,13:59,1402/08/07,14:00,1402/08/14,14:00,,,,7,,7,7,7,0,1402/07/18,18:00,,درآمدی-4101133630233392- بانک مرکزی جمهوری اسلامی ایران شعبه مرکزی,,دریافت وجوه سپرده-4101133630233392- بانک مرکزی جمهوری اسلامی ایران شعبه مرکزی,,رد وجوه سپرده-4101133630233392- بانک مرکزی جمهوری اسلامی ایران شعبه مرکزی,درآمدی-4101133630233392- بانک مرکزی جمهوری اسلامی ایران شعبه مرکزی,,رد وجوه سپرده-4101133630233392- بانک مرکزی جمهوری اسلامی ایران شعبه مرکزی
1002093470000001,مجموعه تراکتور285 فرسوده با فرانت لودر و بیل عقب و تریلر  ,1402/07/08,08:00,1402/08/01,09:00,1402/07/08,1402/07/19,07:30,14:30,1402/07/19,14:30,1402/07/08,08:00,1402/08/01,09:00,1402/08/02,09:00,1402/08/03,09:00,,,,4,,4,4,4,0,1402/07/19,14:30,5,--,,--,,--,درآمدی-0106566830000- بانک ملی ایران شعبه شعبه شهید ستاری,,رد وجوه سپرده-0106566830000- بانک ملی ایران شعبه باقر آباد
1002003822000003,ماسه های موجود در  بندر فریدونکنار ,1402/06/11,08:00,1402/08/03,09:00,1402/06/11,1402/07/12,08:00,12:00,1402/07/22,15:00,1402/06/11,08:00,1402/08/03,09:00,1402/08/03,10:00,1402/08/03,14:00,,,,4,,4,4,4,0,1402/07/22,15:00,,--,,دریافت وجوه سپرده-4101064571212360- بانک مرکزی جمهوری اسلامی ایران شعبه مرکزی,,رد وجوه سپرده-4101064571212360- بانک مرکزی جمهوری اسلامی ایران شعبه مرکزی,درآمدی-01064571212360- بانک مرکزی جمهوری اسلامی ایران شعبه مرکزی ,,رد وجوه سپرده-01064571212360- بانک مرکزی جمهوری اسلامی ایران شعبه مرکزی
1002003008000005,واگذاری یک فقره گواهی کشف طلای خراپه ,1402/06/26,08:00,1402/08/07,12:00,1402/06/28,1402/07/19,08:00,19:00,1402/07/26,19:00,1402/06/26,08:00,1402/08/07,12:00,1402/08/10,09:00,1402/08/16,14:00,,,,4,,4,4,4,0,1402/07/26,19:00,,--,,--,,--,درآمدی-350100004001053203007216- بانک مرکزی جمهوری اسلامی ایران شعبه مرکزی,,رد وجوه سپرده-4101053252132385- بانک مرکزی جمهوری اسلامی ایران شعبه مرکزی
1002091574000012,مزایده انواع کاتالیست ضایعاتی,1402/07/05,15:00,1402/08/01,19:00,1402/07/18,1402/07/25,07:30,14:00,1402/07/16,19:00,1402/07/05,15:00,1402/08/01,19:00,1402/08/02,08:00,1402/08/02,14:00,,,,14,,14,14,14,0,1402/07/16,19:00,5,--,,--,,رد وجوه سپرده-4101041938164716- بانک مرکزی جمهوری اسلامی ایران شعبه مرکزی,درآمدی-4101041938164716- بانک مرکزی جمهوری اسلامی ایران شعبه مرکزی,,رد وجوه سپرده-4101041938164716- بانک مرکزی جمهوری اسلامی ایران شعبه مرکزی
1002009004000006,فروش انواع تیر چوبی شکسته اسقاط ,1402/07/06,08:00,1402/07/30,19:00,1402/07/19,1402/07/30,08:00,15:00,1402/07/18,19:00,1402/07/06,08:00,1402/07/30,19:00,1402/08/01,08:00,1402/08/02,08:00,,,,10,,10,20,20,"100,000",1402/07/18,19:00,,درآمدی-0104777450002- بانک ملی ایران شعبه مرکزی شهرکرد,,دریافت وجوه سپرده-0104777450002- بانک ملی ایران شعبه مرکزی شهرکرد,,رد وجوه سپرده-0104777450002- بانک ملی ایران شعبه مرکزی شهرکرد,درآمدی-0104777450002- بانک ملی ایران شعبه مرکزی شهرکرد,,رد وجوه سپرده-0104777450002- بانک ملی ایران شعبه مرکزی شهرکرد
1002093148000005,تجدید مزایده فروش ماشین آلات و تجهیزات فرسوده متعلق به شهرداری شاندیز,1402/07/08,08:00,1402/07/30,17:00,1402/07/08,1402/07/18,07:30,14:30,1402/07/18,17:00,1402/07/08,08:00,1402/07/30,17:00,1402/08/01,11:00,1402/08/02,08:00,,,,7,,7,9,9,0,1402/07/18,17:00,5,--,,دریافت وجوه سپرده-0204880582008- بانک ملی ایران شعبه شاندیز,,رد وجوه سپرده-3100003135008- بانک ملی ایران شعبه شاندیز,درآمدی-310000019301- بانک ملی ایران شعبه شاندیز,,رد وجوه سپرده-3100000193001- بانک ملی ایران شعبه شاندیز
1002093148000005,تجدید مزایده فروش ماشین آلات و تجهیزات فرسوده متعلق به شهرداری شاندیز,1402/07/08,08:00,1402/07/30,17:00,1402/07/08,1402/07/18,07:30,14:30,1402/07/18,17:00,1402/07/08,08:00,1402/07/30,17:00,1402/08/01,11:00,1402/08/02,08:00,,,,7,,7,9,9,0,1402/07/18,17:00,5,--,,دریافت وجوه سپرده-0204880582008- بانک ملی ایران شعبه شاندیز,,رد وجوه سپرده-3100003135008- بانک ملی ایران شعبه شاندیز,درآمدی-310000019301- بانک ملی ایران شعبه شاندیز,,رد وجوه سپرده-3100000193001- بانک ملی ایران شعبه شاندیز
1002004772000001,فروش شش دستگاه خودپرداز NCR,1402/07/08,08:00,1402/07/30,19:00,1402/07/08,1402/07/15,08:00,13:30,1402/07/15,19:00,1402/07/08,08:00,1402/07/30,19:00,1402/08/01,08:00,1402/08/02,08:00,,,,4,,4,4,4,"500,000",1402/07/15,19:00,5,درآمدی-3929000004012- بانک سپه شعبه مالی ستاد,,دریافت وجوه سپرده-3929000004012- بانک سپه شعبه مالی ستاد,,رد وجوه سپرده-3929000004012- بانک سپه شعبه مالی ستاد,درآمدی-3929000004012- بانک سپه شعبه مالی ستاد,,رد وجوه سپرده-3929000004012- بانک سپه شعبه مالی ستاد
1002093148000005,تجدید مزایده فروش ماشین آلات و تجهیزات فرسوده متعلق به شهرداری شاندیز,1402/07/08,08:00,1402/07/30,17:00,1402/07/08,1402/07/18,07:30,14:30,1402/07/18,17:00,1402/07/08,08:00,1402/07/30,17:00,1402/08/01,11:00,1402/08/02,08:00,,,,7,,7,9,9,0,1402/07/18,17:00,5,--,,دریافت وجوه سپرده-0204880582008- بانک ملی ایران شعبه شاندیز,,رد وجوه سپرده-3100003135008- بانک ملی ایران شعبه شاندیز,درآمدی-310000019301- بانک ملی ایران شعبه شاندیز,,رد وجوه سپرده-3100000193001- بانک ملی ایران شعبه شاندیز
1002093148000005,تجدید مزایده فروش ماشین آلات و تجهیزات فرسوده متعلق به شهرداری شاندیز,1402/07/08,08:00,1402/07/30,17:00,1402/07/08,1402/07/18,07:30,14:30,1402/07/18,17:00,1402/07/08,08:00,1402/07/30,17:00,1402/08/01,11:00,1402/08/02,08:00,,,,7,,7,9,9,0,1402/07/18,17:00,5,--,,دریافت وجوه سپرده-0204880582008- بانک ملی ایران شعبه شاندیز,,رد وجوه سپرده-3100003135008- بانک ملی ایران شعبه شاندیز,درآمدی-310000019301- بانک ملی ایران شعبه شاندیز,,رد وجوه سپرده-3100000193001- بانک ملی ایران شعبه شاندیز
